"","bacteria","timepoint",".y.","group1","group2","p","p.format","p.signif","method","p.adj","p.adj.signif","taxa_level"
"1","Acetatifactor","D26","mean","EtOH Male","Ctl Female",0.170940170940171,"0.17094","ns","Wilcoxon",0.205128205128205,"ns","genius"
"2","Acetatifactor","D26","mean","EtOH Male","Ctl Male",0.943278943278943,"0.94328","ns","Wilcoxon",0.943278943278943,"ns","genius"
"3","Acetatifactor","D26","mean","EtOH Male","EtOH Female",0.000575894693541752,"0.00058","***","Wilcoxon",0.002997002997003,"**","genius"
"4","Acetatifactor","D26","mean","Ctl Female","Ctl Male",0.0952380952380952,"0.09524","ns","Wilcoxon",0.142857142857143,"ns","genius"
"5","Acetatifactor","D26","mean","Ctl Female","EtOH Female",0.00699300699300699,"0.00699","**","Wilcoxon",0.013986013986014,"*","genius"
"6","Acetatifactor","D26","mean","Ctl Male","EtOH Female",0.000999000999000999,"0.00100","***","Wilcoxon",0.002997002997003,"**","genius"
"7","Acinetobacter","D26","mean","EtOH Male","Ctl Female",0.127428127428127,"0.12743","ns","Wilcoxon",0.301587301587302,"ns","genius"
"8","Acinetobacter","D26","mean","EtOH Male","Ctl Male",0.832944832944833,"0.83294","ns","Wilcoxon",0.832944832944833,"ns","genius"
"9","Acinetobacter","D26","mean","EtOH Male","EtOH Female",0.138790621143562,"0.13879","ns","Wilcoxon",0.301587301587302,"ns","genius"
"10","Acinetobacter","D26","mean","Ctl Female","Ctl Male",0.150793650793651,"0.15079","ns","Wilcoxon",0.301587301587302,"ns","genius"
"11","Acinetobacter","D26","mean","Ctl Female","EtOH Female",0.437562437562438,"0.43756","ns","Wilcoxon",0.525074925074925,"ns","genius"
"12","Acinetobacter","D26","mean","Ctl Male","EtOH Female",0.23976023976024,"0.23976","ns","Wilcoxon",0.35964035964036,"ns","genius"
"13","Actinomyces","D26","mean","EtOH Male","Ctl Female",0.0894057315056793,"0.08941","ns","Wilcoxon",0.268217194517038,"ns","genius"
"14","Actinomyces","D26","mean","EtOH Male","Ctl Male",0.277974874223793,"0.27797","ns","Wilcoxon",0.41696231133569,"ns","genius"
"15","Actinomyces","D26","mean","EtOH Male","EtOH Female",0.799502808501881,"0.79950","ns","Wilcoxon",0.799502808501881,"ns","genius"
"16","Actinomyces","D26","mean","Ctl Female","Ctl Male",0.423710797166793,"0.42371","ns","Wilcoxon",0.508452956600152,"ns","genius"
"17","Actinomyces","D26","mean","Ctl Female","EtOH Female",0.0622268952200788,"0.06223","ns","Wilcoxon",0.268217194517038,"ns","genius"
"18","Actinomyces","D26","mean","Ctl Male","EtOH Female",0.18387320155222,"0.18387","ns","Wilcoxon",0.36774640310444,"ns","genius"
"19","Acutalibacter","D26","mean","EtOH Male","Ctl Female",0.127428127428127,"0.12743","ns","Wilcoxon",0.254856254856255,"ns","genius"
"20","Acutalibacter","D26","mean","EtOH Male","Ctl Male",0.832944832944833,"0.83294","ns","Wilcoxon",0.832944832944833,"ns","genius"
"21","Acutalibacter","D26","mean","EtOH Male","EtOH Female",0.276593994241053,"0.27659","ns","Wilcoxon",0.41489099136158,"ns","genius"
"22","Acutalibacter","D26","mean","Ctl Female","Ctl Male",0.0158730158730159,"0.01587","*","Wilcoxon",0.0952380952380952,"ns","genius"
